h3_id,indicator,value_baseline,value_optimized,delta
89a8100c50bffff,C_conectividade,9.51,9.51,0.0
89a8100c50bffff,T_transporte,12.32,12.32,0.0
89a8100c50bffff,U_urbanidade,2.39,2.9134580000000003,0.5234580000000002
89a8100c573ffff,S_saude,15.23,15.33519,0.10519000000000034
89a8100c573ffff,S_educacao,6.12,7.248196,1.128196
89a8100c573ffff,S_abastecimento,16.29,16.29,0.0
89a8100c573ffff,S_lazer,50.0,50.005922,0.0059219999999982065
89a8100c573ffff,S_servicos,35.49,35.49,0.0
89a8100c573ffff,I_seguranca,475.89,475.89,0.0
89a8100c573ffff,A_vegetacao,1.65,1.65,0.0
89a8100c573ffff,A_agua,0.11,0.11,0.0
89a8100c573ffff,C_conectividade,12.04,12.04,0.0
89a8100c573ffff,T_transporte,12.41,12.41,0.0
89a8100c573ffff,U_urbanidade,3.2,3.6567000000000003,0.4567000000000001
89a8100c563ffff,S_saude,8.12,8.12,0.0
89a8100c563ffff,S_educacao,3.78,3.963046,0.18304600000000004
89a8100c563ffff,S_abastecimento,11.26,11.26,0.0
89a8100c563ffff,S_lazer,29.91,29.91,0.0
89a8100c563ffff,S_servicos,10.51,10.51,0.0
89a8100c563ffff,I_seguranca,309.18,309.18,0.0
89a8100c563ffff,A_vegetacao,1.61,1.61,0.0
89a8100c563ffff,A_agua,0.2,0.2,0.0
89a8100c563ffff,C_conectividade,8.16,8.16,0.0
89a8100c563ffff,T_transporte,6.48,6.48,0.0
89a8100c563ffff,U_urbanidade,1.59,1.59,0.0
89a8100c567ffff,S_saude,3.53,3.53,0.0
89a8100c567ffff,S_educacao,2.27,3.6954089999999997,1.4254089999999997
89a8100c567ffff,S_abastecimento,3.8,3.8,0.0
89a8100c567ffff,S_lazer,9.35,9.35,0.0
89a8100c567ffff,S_servicos,7.61,7.61,0.0
89a8100c567ffff,I_seguranca,151.47,151.47,0.0
89a8100c567ffff,A_vegetacao,3.48,3.48,0.0
89a8100c567ffff,A_agua,0.01,0.01,0.0
89a8100c567ffff,C_conectividade,4.37,4.37,0.0
89a8100c567ffff,T_transporte,5.81,5.81,0.0
89a8100c567ffff,U_urbanidade,1.41,1.41,0.0
89a8100c193ffff,S_saude,5.65,5.65,0.0
89a8100c193ffff,S_educacao,1.65,1.65,0.0
89a8100c193ffff,S_abastecimento,4.58,4.58,0.0
89a8100c193ffff,S_lazer,14.79,14.79,0.0
89a8100c193ffff,S_servicos,8.52,8.52,0.0
89a8100c193ffff,I_seguranca,115.86,115.86,0.0
89a8100c193ffff,A_vegetacao,6.78,6.78,0.0
89a8100c193ffff,A_agua,0.04,0.04,0.0
89a8100c193ffff,C_conectividade,3.67,3.67,0.0
89a8100c193ffff,T_transporte,1.73,1.73,0.0
89a8100c193ffff,U_urbanidade,2.24,2.3598060000000003,0.11980600000000008
89a8100c197ffff,S_saude,22.62,22.62,0.0
89a8100c197ffff,S_educacao,7.38,7.4918949999999995,0.11189499999999963
89a8100c197ffff,S_abastecimento,26.05,26.05,0.0
89a8100c197ffff,S_lazer,100.48,100.48,0.0
89a8100c197ffff,S_servicos,57.32,57.32,0.0
89a8100c197ffff,I_seguranca,417.18,417.18,0.0
89a8100c197ffff,A_vegetacao,4.79,4.79,0.0
89a8100c197ffff,A_agua,0.01,0.01,0.0
89a8100c197ffff,C_conectividade,10.06,10.06,0.0
89a8100c197ffff,T_transporte,17.19,17.19,0.0
89a8100c197ffff,U_urbanidade,2.18,4.272143,2.0921429999999996
89a8100ea5bffff,S_saude,18.79,18.79,0.0
89a8100ea5bffff,S_educacao,9.08,9.08,0.0
89a8100ea5bffff,S_abastecimento,21.24,21.24,0.0
89a8100ea5bffff,S_lazer,117.82,117.82,0.0
89a8100ea5bffff,S_servicos,66.32,66.32,0.0
89a8100ea5bffff,I_seguranca,461.08,461.08,0.0
89a8100ea5bffff,A_vegetacao,3.62,3.62,0.0
89a8100ea5bffff,A_agua,0.01,0.01,0.0
89a8100ea5bffff,C_conectividade,9.38,9.38,0.0
89a8100ea5bffff,T_transporte,23.72,23.72,0.0
89a8100ea5bffff,U_urbanidade,2.5,5.1478,2.6478
89a8100ea53ffff,S_saude,15.94,15.94,0.0
89a8100ea53ffff,S_educacao,7.12,7.12,0.0
89a8100ea53ffff,S_abastecimento,18.23,18.299939000000002,0.06993900000000153
89a8100ea53ffff,S_lazer,111.66,111.66,0.0
89a8100ea53ffff,S_servicos,45.88,45.88,0.0
89a8100ea53ffff,I_seguranca,434.9,434.9,0.0
89a8100ea53ffff,A_vegetacao,2.26,2.26,0.0
89a8100ea53ffff,A_agua,0.0,0.0,0.0
89a8100ea53ffff,C_conectividade,9.3,9.3,0.0
89a8100ea53ffff,T_transporte,28.36,28.36,0.0
89a8100ea53ffff,U_urbanidade,1.76,6.120188,4.360188
89a8100eacfffff,S_saude,15.54,15.54,0.0
89a8100eacfffff,S_educacao,3.14,3.199732,0.059731999999999896
89a8100eacfffff,S_abastecimento,19.48,19.815108000000002,0.33510800000000174
89a8100eacfffff,S_lazer,97.6,97.6,0.0
89a8100eacfffff,S_servicos,35.51,35.51,0.0
89a8100eacfffff,I_seguranca,407.87,407.87,0.0
89a8100eacfffff,A_vegetacao,1.12,1.12,0.0
89a8100eacfffff,A_agua,0.0,0.0,0.0
89a8100eacfffff,C_conectividade,9.93,9.93,0.0
89a8100eacfffff,T_transporte,30.72,30.72,0.0
89a8100eacfffff,U_urbanidade,2.09,7.161953,5.071953
89a8100eac3ffff,S_saude,15.58,15.58,0.0
89a8100eac3ffff,S_educacao,0.55,1.0924930000000002,0.5424930000000001
89a8100eac3ffff,S_abastecimento,17.18,18.249961,1.0699609999999993
89a8100eac3ffff,S_lazer,74.77,74.77,0.0
89a8100eac3ffff,S_servicos,36.3,36.322436999999994,0.022436999999996488
89a8100eac3ffff,I_seguranca,352.72,352.72,0.0
89a8100eac3ffff,A_vegetacao,0.93,0.93,0.0
89a8100eac3ffff,A_agua,0.0,0.0,0.0
89a8100eac3ffff,C_conectividade,9.58,9.58,0.0
89a8100eac3ffff,T_transporte,25.58,25.58,0.0
89a8100eac3ffff,U_urbanidade,2.23,4.785881,2.555881
89a8100ead3ffff,S_saude,12.95,12.95,0.0
89a8100ead3ffff,S_educacao,0.22,0.455886,0.235886
89a8100ead3ffff,S_abastecimento,9.92,10.675114,0.7551140000000007
89a8100ead3ffff,S_lazer,46.95,46.95,0.0
89a8100ead3ffff,S_servicos,29.1,29.538857,0.4388569999999987
89a8100ead3ffff,I_seguranca,351.22,351.22,0.0
89a8100ead3ffff,A_vegetacao,0.97,0.97,0.0
89a8100ead3ffff,A_agua,0.0,0.0,0.0
89a8100ead3ffff,C_conectividade,9.53,9.53,0.0
89a8100ead3ffff,T_transporte,17.09,17.09,0.0
89a8100ead3ffff,U_urbanidade,1.54,2.452349,0.9123489999999999
89a8100ee6bffff,S_saude,8.31,8.31,0.0
89a8100ee6bffff,S_educacao,0.32,0.409214,0.08921400000000002
89a8100ee6bffff,S_abastecimento,4.08,4.240154,0.16015400000000035
89a8100ee6bffff,S_lazer,19.45,19.45,0.0
89a8100ee6bffff,S_servicos,14.94,15.427906,0.4879060000000006
89a8100ee6bffff,I_seguranca,305.95,305.95,0.0
89a8100ee6bffff,A_vegetacao,1.31,1.31,0.0
89a8100ee6bffff,A_agua,0.0,0.0,0.0
89a8100ee6bffff,C_conectividade,8.07,8.07,0.0
89a8100ee6bffff,T_transporte,7.64,7.64,0.0
89a8100ee6bffff,U_urbanidade,0.1,1.289917,1.189917
89a8100c5b7ffff,S_saude,12.8,12.8,0.0
89a8100c5b7ffff,S_educacao,1.36,2.188452,0.8284519999999997
89a8100c5b7ffff,S_abastecimento,3.26,3.2673379999999996,0.007337999999999845
89a8100c5b7ffff,S_lazer,18.67,18.679561000000003,0.009561000000001485
89a8100c5b7ffff,S_servicos,15.64,15.881161,0.24116099999999996
89a8100c5b7ffff,I_seguranca,412.38,412.38,0.0
89a8100c5b7ffff,A_vegetacao,1.54,1.54,0.0
89a8100c5b7ffff,A_agua,0.0,0.0,0.0
89a8100c5b7ffff,C_conectividade,10.72,10.72,0.0
89a8100c5b7ffff,T_transporte,6.71,6.71,0.0
89a8100c5b7ffff,U_urbanidade,0.0,2.694907,2.694907
89a8100c5b3ffff,S_saude,11.11,11.11,0.0
89a8100c5b3ffff,S_educacao,3.13,3.8555789999999996,0.7255789999999998
89a8100c5b3ffff,S_abastecimento,6.38,6.38,0.0
89a8100c5b3ffff,S_lazer,29.26,29.265756000000003,0.005756000000001649
89a8100c5b3ffff,S_servicos,21.27,21.27,0.0
89a8100c5b3ffff,I_seguranca,396.67,396.67,0.0
89a8100c5b3ffff,A_vegetacao,2.16,2.16,0.0
89a8100c5b3ffff,A_agua,0.03,0.03,0.0
89a8100c5b3ffff,C_conectividade,10.09,10.09,0.0
89a8100c5b3ffff,T_transporte,7.03,7.03,0.0
89a8100c5b3ffff,U_urbanidade,0.0,2.046152,2.046152
89a8100c587ffff,S_saude,7.22,7.239426,0.019426000000000165
89a8100c587ffff,S_educacao,2.48,3.590008,1.110008
89a8100c587ffff,S_abastecimento,6.57,6.57,0.0
89a8100c587ffff,S_lazer,26.49,26.49,0.0
89a8100c587ffff,S_servicos,20.3,20.3,0.0
89a8100c587ffff,I_seguranca,342.28,342.28,0.0
89a8100c587ffff,A_vegetacao,4.67,4.67,0.0
89a8100c587ffff,A_agua,0.33,0.33,0.0
89a8100c587ffff,C_conectividade,9.9,9.9,0.0
89a8100c587ffff,T_transporte,6.54,6.54,0.0
89a8100c587ffff,U_urbanidade,0.1,2.06541,1.9654099999999999
89a8100c583ffff,S_saude,1.79,1.806746,0.016745999999999928
89a8100c583ffff,S_educacao,0.32,0.816182,0.49618199999999996
89a8100c583ffff,S_abastecimento,2.43,2.43,0.0
89a8100c583ffff,S_lazer,7.91,7.91,0.0
89a8100c583ffff,S_servicos,6.1,6.126366999999999,0.026366999999999585
89a8100c583ffff,I_seguranca,98.35,98.35,0.0
89a8100c583ffff,A_vegetacao,1.65,1.65,0.0
89a8100c583ffff,A_agua,0.01,0.01,0.0
89a8100c583ffff,C_conectividade,3.68,3.68,0.0
89a8100c583ffff,T_transporte,2.32,2.32,0.0
89a8100c583ffff,U_urbanidade,0.0,1.013648,1.013648
89a8100c58bffff,S_saude,3.85,4.357808,0.5078080000000003
89a8100c58bffff,S_educacao,2.6,3.371588,0.7715879999999999
89a8100c58bffff,S_abastecimento,7.23,7.23,0.0
89a8100c58bffff,S_lazer,18.53,18.53,0.0
89a8100c58bffff,S_servicos,12.06,12.950079,0.8900790000000001
89a8100c58bffff,I_seguranca,233.58,233.58,0.0
89a8100c58bffff,A_vegetacao,2.42,2.42,0.0
89a8100c58bffff,A_agua,0.11,0.11,0.0
89a8100c58bffff,C_conectividade,7.98,7.98,0.0
89a8100c58bffff,T_transporte,4.61,4.61,0.0
89a8100c58bffff,U_urbanidade,0.0,3.065036,3.065036
89a8100c5c7ffff,S_saude,11.04,11.634535999999999,0.5945359999999997
89a8100c5c7ffff,S_educacao,5.57,6.308782000000001,0.7387820000000005
89a8100c5c7ffff,S_abastecimento,11.2,11.2,0.0
89a8100c5c7ffff,S_lazer,38.66,38.66,0.0
89a8100c5c7ffff,S_servicos,26.43,27.611781999999998,1.1817819999999983
89a8100c5c7ffff,I_seguranca,417.96,417.96,0.0
89a8100c5c7ffff,A_vegetacao,2.37,2.37,0.0
89a8100c5c7ffff,A_agua,0.03,0.03,0.0
89a8100c5c7ffff,C_conectividade,11.08,11.08,0.0
89a8100c5c7ffff,T_transporte,7.59,7.59,0.0
89a8100c5c7ffff,U_urbanidade,0.27,1.566151,1.296151
89a8100c5cfffff,S_saude,18.75,19.268906,0.5189060000000012
89a8100c5cfffff,S_educacao,8.64,9.169668000000001,0.5296680000000009
89a8100c5cfffff,S_abastecimento,11.57,11.57,0.0
89a8100c5cfffff,S_lazer,53.42,53.42,0.0
89a8100c5cfffff,S_servicos,47.83,48.535679,0.7056790000000035
89a8100c5cfffff,I_seguranca,506.31,506.31,0.0
89a8100c5cfffff,A_vegetacao,3.25,3.25,0.0
89a8100c5cfffff,A_agua,0.0,0.0,0.0
89a8100c5cfffff,C_conectividade,11.03,11.03,0.0
89a8100c5cfffff,T_transporte,10.24,10.24,0.0
