seed,initial_objective_value,best_objective_value,delta_abs_vs_baseline,delta_pct_vs_baseline,iterations,evaluations,runtime_seconds,accepted_iterations,improvement_iterations,stopping_reason,final_perturbation_strength,seed_dir
8986,54.97550000000001,64.8563,10.852800000000002,20.096475228457418,175,30196,82.20166029618122,24,24,max_evaluations,2,/var/tmp/anderson_oliveira/wqi-metaheuristics/results/ils/athlete/dataset_hex177_impacts4998/run_20260531_000250_budget100_seeds100/seed_runs/seed_008986
4897,55.3315,65.3857,11.382199999999997,21.076782060422005,192,30015,81.63316340814345,28,28,max_evaluations,2,/var/tmp/anderson_oliveira/wqi-metaheuristics/results/ils/athlete/dataset_hex177_impacts4998/run_20260531_000250_budget100_seeds100/seed_runs/seed_004897
2067,55.7191,65.2996,11.296099999999996,20.91734794966992,168,30054,81.624501950806,28,28,max_evaluations,2,/var/tmp/anderson_oliveira/wqi-metaheuristics/results/ils/athlete/dataset_hex177_impacts4998/run_20260531_000250_budget100_seeds100/seed_runs/seed_002067
5455,55.0762,65.01689999999999,11.01339999999999,20.39386336070808,190,30130,81.91053497511894,27,27,max_evaluations,2,/var/tmp/anderson_oliveira/wqi-metaheuristics/results/ils/athlete/dataset_hex177_impacts4998/run_20260531_000250_budget100_seeds100/seed_runs/seed_005455
9300,55.452600000000004,64.51530000000001,10.511800000000008,19.46503467367857,200,28633,77.74711927515455,14,14,max_no_improve,2,/var/tmp/anderson_oliveira/wqi-metaheuristics/results/ils/athlete/dataset_hex177_impacts4998/run_20260531_000250_budget100_seeds100/seed_runs/seed_009300
6777,55.4929,64.9494,10.945899999999995,20.268871462034856,190,30074,81.79762807488441,23,23,max_evaluations,2,/var/tmp/anderson_oliveira/wqi-metaheuristics/results/ils/athlete/dataset_hex177_impacts4998/run_20260531_000250_budget100_seeds100/seed_runs/seed_006777
8488,55.4214,65.4067,11.403199999999998,21.115668428898122,176,30045,81.70934068411589,32,32,max_evaluations,2,/var/tmp/anderson_oliveira/wqi-metaheuristics/results/ils/athlete/dataset_hex177_impacts4998/run_20260531_000250_budget100_seeds100/seed_runs/seed_008488
471,55.395399999999995,65.3619,11.358400000000003,21.03271084281575,173,30096,81.92941108392552,27,27,max_evaluations,2,/var/tmp/anderson_oliveira/wqi-metaheuristics/results/ils/athlete/dataset_hex177_impacts4998/run_20260531_000250_budget100_seeds100/seed_runs/seed_000471
689,55.4009,65.6098,11.606300000000005,21.491755164017157,162,30102,81.84353824704885,35,35,max_evaluations,2,/var/tmp/anderson_oliveira/wqi-metaheuristics/results/ils/athlete/dataset_hex177_impacts4998/run_20260531_000250_budget100_seeds100/seed_runs/seed_000689
2411,55.7226,65.50649999999999,11.502999999999986,21.300471265751266,174,30069,81.69135341001675,35,35,max_evaluations,2,/var/tmp/anderson_oliveira/wqi-metaheuristics/results/ils/athlete/dataset_hex177_impacts4998/run_20260531_000250_budget100_seeds100/seed_runs/seed_002411
3646,55.2702,65.26219999999999,11.25869999999999,20.848093179145778,172,30067,81.68550781114027,28,28,max_evaluations,2,/var/tmp/anderson_oliveira/wqi-metaheuristics/results/ils/athlete/dataset_hex177_impacts4998/run_20260531_000250_budget100_seeds100/seed_runs/seed_003646
2036,55.584199999999996,64.94569999999999,10.942199999999985,20.262020054255714,185,30060,95.8168942190241,30,30,max_evaluations,2,/var/tmp/anderson_oliveira/wqi-metaheuristics/results/ils/athlete/dataset_hex177_impacts4998/run_20260531_000250_budget100_seeds100/seed_runs/seed_002036
4428,55.922799999999995,64.80510000000001,10.801600000000008,20.00166655864899,182,30031,100.47982402401976,25,25,max_evaluations,2,/var/tmp/anderson_oliveira/wqi-metaheuristics/results/ils/athlete/dataset_hex177_impacts4998/run_20260531_000250_budget100_seeds100/seed_runs/seed_004428
7735,54.581199999999995,65.47219999999999,11.468699999999984,21.23695686390694,170,30053,100.17714782105759,32,32,max_evaluations,2,/var/tmp/anderson_oliveira/wqi-metaheuristics/results/ils/athlete/dataset_hex177_impacts4998/run_20260531_000250_budget100_seeds100/seed_runs/seed_007735
9016,55.486999999999995,64.48,10.476500000000001,19.399668540002036,189,30034,100.12240088009275,21,21,max_evaluations,2,/var/tmp/anderson_oliveira/wqi-metaheuristics/results/ils/athlete/dataset_hex177_impacts4998/run_20260531_000250_budget100_seeds100/seed_runs/seed_009016
7987,55.659,65.4434,11.439899999999994,21.18362698713971,168,30028,100.08837713696994,25,25,max_evaluations,2,/var/tmp/anderson_oliveira/wqi-metaheuristics/results/ils/athlete/dataset_hex177_impacts4998/run_20260531_000250_budget100_seeds100/seed_runs/seed_007987
6640,55.260999999999996,64.9171,10.913600000000002,20.209060523854937,147,24977,83.2597071598284,23,23,max_no_improve,2,/var/tmp/anderson_oliveira/wqi-metaheuristics/results/ils/athlete/dataset_hex177_impacts4998/run_20260531_000250_budget100_seeds100/seed_runs/seed_006640
3235,54.9597,64.7124,10.7089,19.8300110178044,149,26359,87.82472083903849,22,22,max_no_improve,2,/var/tmp/anderson_oliveira/wqi-metaheuristics/results/ils/athlete/dataset_hex177_impacts4998/run_20260531_000250_budget100_seeds100/seed_runs/seed_003235
1065,55.719899999999996,65.31360000000001,11.310100000000006,20.943272195320684,183,30242,101.03288701595739,22,22,max_evaluations,2,/var/tmp/anderson_oliveira/wqi-metaheuristics/results/ils/athlete/dataset_hex177_impacts4998/run_20260531_000250_budget100_seeds100/seed_runs/seed_001065
9480,55.1781,65.3699,11.366399999999999,21.04752469747331,187,30124,100.32553075114265,36,36,max_evaluations,2,/var/tmp/anderson_oliveira/wqi-metaheuristics/results/ils/athlete/dataset_hex177_impacts4998/run_20260531_000250_budget100_seeds100/seed_runs/seed_009480
634,55.169799999999995,65.6447,11.641199999999998,21.556380604960786,177,30049,100.13244440499693,36,36,max_evaluations,2,/var/tmp/anderson_oliveira/wqi-metaheuristics/results/ils/athlete/dataset_hex177_impacts4998/run_20260531_000250_budget100_seeds100/seed_runs/seed_000634
8513,55.4667,65.1116,11.108099999999993,20.569222365217055,180,30135,100.36306263296865,27,27,max_evaluations,2,/var/tmp/anderson_oliveira/wqi-metaheuristics/results/ils/athlete/dataset_hex177_impacts4998/run_20260531_000250_budget100_seeds100/seed_runs/seed_008513
7110,56.0612,65.0072,11.003699999999995,20.375901561935787,177,30086,100.17875895882025,22,22,max_evaluations,2,/var/tmp/anderson_oliveira/wqi-metaheuristics/results/ils/athlete/dataset_hex177_impacts4998/run_20260531_000250_budget100_seeds100/seed_runs/seed_007110
4843,55.7786,64.565,10.561499999999995,19.557065745738694,191,30245,100.7232353829313,28,28,max_evaluations,2,/var/tmp/anderson_oliveira/wqi-metaheuristics/results/ils/athlete/dataset_hex177_impacts4998/run_20260531_000250_budget100_seeds100/seed_runs/seed_004843
9399,55.851200000000006,64.5429,10.5394,19.516142472247168,170,30024,82.49730201205239,32,32,max_evaluations,2,/var/tmp/anderson_oliveira/wqi-metaheuristics/results/ils/athlete/dataset_hex177_impacts4998/run_20260531_000250_budget100_seeds100/seed_runs/seed_009399
6964,55.771,64.9135,10.909999999999997,20.20239428925902,189,30128,82.58485603611916,24,24,max_evaluations,2,/var/tmp/anderson_oliveira/wqi-metaheuristics/results/ils/athlete/dataset_hex177_impacts4998/run_20260531_000250_budget100_seeds100/seed_runs/seed_006964
6297,55.5047,65.3263,11.3228,20.966789189589566,194,30092,82.47716146800667,28,28,max_evaluations,2,/var/tmp/anderson_oliveira/wqi-metaheuristics/results/ils/athlete/dataset_hex177_impacts4998/run_20260531_000250_budget100_seeds100/seed_runs/seed_006297
652,55.57110000000001,64.9422,10.938699999999997,20.25553899284305,170,30037,82.24316321196966,21,21,max_evaluations,2,/var/tmp/anderson_oliveira/wqi-metaheuristics/results/ils/athlete/dataset_hex177_impacts4998/run_20260531_000250_budget100_seeds100/seed_runs/seed_000652
8740,55.5591,64.9118,10.908299999999997,20.19924634514429,178,30028,82.30572444200516,27,27,max_evaluations,2,/var/tmp/anderson_oliveira/wqi-metaheuristics/results/ils/athlete/dataset_hex177_impacts4998/run_20260531_000250_budget100_seeds100/seed_runs/seed_008740
1232,54.9144,64.5898,10.586299999999994,19.602988695177153,174,30181,82.78739082091488,28,28,max_evaluations,2,/var/tmp/anderson_oliveira/wqi-metaheuristics/results/ils/athlete/dataset_hex177_impacts4998/run_20260531_000250_budget100_seeds100/seed_runs/seed_001232
2286,55.11309999999999,65.2793,11.275800000000004,20.879757793476355,187,30047,82.26097420509905,33,33,max_evaluations,2,/var/tmp/anderson_oliveira/wqi-metaheuristics/results/ils/athlete/dataset_hex177_impacts4998/run_20260531_000250_budget100_seeds100/seed_runs/seed_002286
7619,54.9186,65.28190000000001,11.278400000000005,20.88457229624007,176,30137,82.57102919602767,25,25,max_evaluations,2,/var/tmp/anderson_oliveira/wqi-metaheuristics/results/ils/athlete/dataset_hex177_impacts4998/run_20260531_000250_budget100_seeds100/seed_runs/seed_007619
1845,56.0114,64.86959999999999,10.866099999999989,20.1211032618256,187,30039,82.19319771206938,26,26,max_evaluations,2,/var/tmp/anderson_oliveira/wqi-metaheuristics/results/ils/athlete/dataset_hex177_impacts4998/run_20260531_000250_budget100_seeds100/seed_runs/seed_001845
6815,55.0145,64.8352,10.831699999999998,20.057403686798075,179,30087,82.50368160312064,23,23,max_evaluations,2,/var/tmp/anderson_oliveira/wqi-metaheuristics/results/ils/athlete/dataset_hex177_impacts4998/run_20260531_000250_budget100_seeds100/seed_runs/seed_006815
7477,55.19579999999999,65.3579,11.354399999999998,21.025303915486955,187,30025,82.14390672696754,32,32,max_evaluations,2,/var/tmp/anderson_oliveira/wqi-metaheuristics/results/ils/athlete/dataset_hex177_impacts4998/run_20260531_000250_budget100_seeds100/seed_runs/seed_007477
1561,54.3955,65.68449999999999,11.680999999999983,21.63007953188216,172,30026,82.05475326883607,36,36,max_evaluations,2,/var/tmp/anderson_oliveira/wqi-metaheuristics/results/ils/athlete/dataset_hex177_impacts4998/run_20260531_000250_budget100_seeds100/seed_runs/seed_001561
2843,55.1215,64.8864,10.882899999999992,20.1522123566065,188,30024,82.14324684510939,23,23,max_evaluations,2,/var/tmp/anderson_oliveira/wqi-metaheuristics/results/ils/athlete/dataset_hex177_impacts4998/run_20260531_000250_budget100_seeds100/seed_runs/seed_002843
71,55.144099999999995,64.9342,10.930700000000002,20.24072513818549,182,30179,82.64481005095877,23,23,max_evaluations,2,/var/tmp/anderson_oliveira/wqi-metaheuristics/results/ils/athlete/dataset_hex177_impacts4998/run_20260531_000250_budget100_seeds100/seed_runs/seed_000071
4821,55.6448,65.3441,11.340599999999995,20.999750016202643,176,30028,82.17083217413165,32,32,max_evaluations,2,/var/tmp/anderson_oliveira/wqi-metaheuristics/results/ils/athlete/dataset_hex177_impacts4998/run_20260531_000250_budget100_seeds100/seed_runs/seed_004821
9748,55.5852,65.3545,11.350999999999999,21.019008027257488,198,30085,82.40007371501997,28,28,max_evaluations,2,/var/tmp/anderson_oliveira/wqi-metaheuristics/results/ils/athlete/dataset_hex177_impacts4998/run_20260531_000250_budget100_seeds100/seed_runs/seed_009748
3106,54.99300000000001,65.1236,11.120099999999994,20.591443147203407,196,30031,82.25505535700358,26,26,max_evaluations,2,/var/tmp/anderson_oliveira/wqi-metaheuristics/results/ils/athlete/dataset_hex177_impacts4998/run_20260531_000250_budget100_seeds100/seed_runs/seed_003106
